link	mun	region	lon	lat	ekatte	settlement_type	name	type	name_tr	mun_tr	region_tr
https://www.ekatte.com/област-варна/община-долни-чифлик/пчелник	Долни чифлик	Варна	27.669455	43.012722	58921	с	Пчелник		pchelnik	dolni-chiflik	varna
https://www.ekatte.com/област-благоевград/община-гоце-делчев/лъжница	Гоце Делчев	Благоевград	23.677042	41.619104	44416	с	Лъжница		lzhnitsa	gotse-delchev	blagoevgrad
https://www.ekatte.com/област-кюстендил/община-невестино/лиляч	Невестино	Кюстендил	22.865885	42.291761	43709	с	Лиляч		liljach	nevestino	kjustendil
https://www.ekatte.com/област-габрово/община-трявна/маневци	Трявна	Габрово	25.554061	42.865285	47072	с	Маневци		manevtsi	trjavna	gabrovo
https://www.ekatte.com/област-смолян/община-доспат/бръщен	Доспат	Смолян	24.092486	41.55906	6700	с	Бръщен		brschen	dospat	smoljan
https://www.ekatte.com/област-смолян/община-смолян/мугла	Смолян	Смолян	24.492651	41.615703	49285	с	Мугла		mugla	smoljan	smoljan
https://www.ekatte.com/област-кърджали/община-кирково/мъглене	Кирково	Кърджали	25.252951	41.412473	49480	с	Мъглене		mglene	kirkovo	krdzhali
https://www.ekatte.com/област-пазарджик/община-брацигово/исперихово	Брацигово	Пазарджик	24.42917	42.08536	32888	с	Исперихово		isperihovo	bratsigovo	pazardzhik
https://www.ekatte.com/област-шумен/община-шумен/царев-брод	Шумен	Шумен	27.01053	43.329038	78104	с	Царев брод		tsarev-brod	shumen	shumen
https://www.ekatte.com/област-велико-търново/община-елена/шубеци	Елена	Велико Търново	25.871879	42.879003	83452	с	Шубеци		shubetsi	elena	veliko-trnovo
https://www.ekatte.com/област-велико-търново/община-елена/дуковци	Елена	Велико Търново	25.836801	42.879695	24027	с	Дуковци		dukovtsi	elena	veliko-trnovo
https://www.ekatte.com/област-варна/община-ветрино/млада-гвардия	Ветрино	Варна	27.36317	43.290456	48653	с	Млада гвардия		mlada-gvardija	vetrino	varna
https://www.ekatte.com/област-сливен/община-сливен/бинкос	Сливен	Сливен	26.09704	42.648571	4114	с	Бинкос		binkos	sliven	sliven
https://www.ekatte.com/област-кърджали/община-кърджали/лъвово	Кърджали	Кърджали	25.333854	41.567784	44361	с	Лъвово		lvovo	krdzhali	krdzhali
https://www.ekatte.com/област-пазарджик/община-пазарджик/братаница	Пазарджик	Пазарджик	24.220072	42.165825	6149	с	Братаница		bratanitsa	pazardzhik	pazardzhik
https://www.ekatte.com/област-монтана/община-монтана/доктор-йосифово	Монтана	Монтана	23.147614	43.506553	21840	с	Доктор Йосифово		doktor-josifovo	montana	montana
https://www.ekatte.com/област-шумен/община-шумен/новосел	Шумен	Шумен	26.811398	43.287493	52132	с	Новосел		novosel	shumen	shumen
https://www.ekatte.com/област-пловдив/община-родопи/брестовица	Родопи	Пловдив	24.591914	42.08361	6505	с	Брестовица		brestovitsa	rodopi	plovdiv
https://www.ekatte.com/област-монтана/община-берковица/замфирово	Берковица	Монтана	23.242386	43.296246	30301	с	Замфирово		zamfirovo	berkovitsa	montana
